schedule,column_id,column_name,description,valid_from_year,valid_to_year,change_notes
24,06,Percent of Full Rate,"This column captures information relating to discounted tax rates, and tax banding of the tax rates.

These can be summarized into the following 3 cases:

|**Types of Tax Rate Discounts**|**Options**|
|---|---|
|Vacant Land or Excess Land|Excess Land Rate (RTQ = V, W)<br>Vacant Land Rate (RTQ=Y, Z)|
|Farmland Awaiting Development|Phase I (RTQ = 2, 3)<br>Phase II (RTQ=5,6)|
|Tax Banding (Percent of Full Unbanded Rate)|Low Tax Band (Tax Band = L)<br>Middle Tax Band (Tax Band = M)<br>High Tax Band (Tax Band=H)|

Notice that the first 2 cases relate to the RTQ of a property, while the 3rd case refers to the Tax Band.

For municipalities who have opted for tax banding of tax rates, it may be possible to have case 1 and 3 occurring at the same time (i.e. RTQ = V, W, Y, Z and Tax Band = L, M, H).

Remember, every tax rate is determined by the following relationship with the Residential tax rate:",,,
24,07,PIL CVA Assessment,"The total current value assessment (CVA) associated with each property class should be entered in this column.  Each Payment-In-Lieu RTC / RTQ Code and Tax Band combination that is applicable in a municipality should have a record shown in this schedule.

The CVA amounts reported in this column will be applied to the Tax Rates reported in columns 8 to 11 to arrive at the Total PIL Levied amounts in columns 12 to 15 in this schedule. Column 7 is pre-populated for the user in this schedule.

Please note that Hydro properties represented by RTQ = H, J, or K are reported on Schedule 22, Municipal and School Board Taxation.",,,
24,16,PIL Phased-In Assessment,"The total phased-in current value assessment (CVA) associated with each property class should be entered in this column.  Each Payment-In-Lieu RTC / RTQ Code and Tax Band combination that is applicable in a municipality should have a record shown in this schedule.

The CVA amounts reported in this column will be applied to the Tax Rates reported in columns 8 to 11 to arrive at the Total PIL Levied amounts in columns 12 to 15 in this schedule.

Please note that Hydro properties represented by RTQ = H, J, or K are reported on Schedule 22, Municipal and School Board Taxation.",,,
24,08,Tax Rates:  Lower-Tier / Single-Tier,"All Lower-tier (LT) and Single-tier (ST) municipalities should enter tax rates in this column. All Tax rates that have been applied in the municipality for Lower-tier or Singletier purposes should appear in this column.

The tax rates should be entered as a Percentage to 6 decimal places into the appropriate column based on the purpose of the tax rate.",,,
24,09,Tax Rates:  Upper-Tier,"All Upper-tier (UT) and Lower-tier (LT) municipalities should enter tax rates in this column. All Tax rates that have been applied in the municipality for Upper-tier purposes should appear in this column.

The tax rates should be entered as a Percentage to 6 decimal places into the appropriate column based on the purpose of the tax rate.",,,
24,10,Tax Rates:  Education,"All Lower-tier (LT) and Single-tier (ST) municipalities should enter tax rates in this column. All Tax rates that have been applied in the municipality for Education purposes should appear in this column.

The tax rates should be entered as a Percentage to 6 decimal places into the appropriate column based on the purpose of the tax rate.

Decimal **0.00123456** = Percentage **0.123456 %**

**NOTE:** Some RTC / RTQ combinations represent Education Rates only, or General Municipal rates only.",,,
24,11,Tax Rates:  Total,"This column displays the total municipal and education tax rates. The total tax rate in each line is automatically calculated from the sum of columns 8, 9, and 10.",,,
24,12,Municipal PILS:  Lower-Tier / Single-Tier,"All Lower-tier (LT) and Single-tier (ST) municipalities should have values in this column.

This column is automatically calculated by multiplying the Assessment in column 7 by the LT / ST Tax Rate in column 8. In sections 4 to 8, the amounts must be entered, with the exception of totals which are automatically added.",,,
24,13,Municipal PILS:  Upper-Tier,"All Upper-tier (UT) and Lower-tier (LT) municipalities should have values in this column.

This column is automatically calculated by multiplying the Assessment in column 7 by the UT Tax Rate in column 9.

In sections 4 to 8, the amounts must be entered, with the exception of totals which are automatically added.",,,
24,14,Education PILS,"All Lower-tier (LT) and Single-tier (ST) municipalities should have values in this column. This column is automatically calculated by multiplying the Assessment in column 7 by the Education Tax Rate in column 10.

In sections 4 to 8, the amounts must be entered, with the exception of totals which are automatically added.",,,
24,15,Total PILS,"This column displays the total municipal and education PILS Levied.  Remember, this may not be the total amount of PILS actually received and retained by the Municipality.

This column is automatically calculated by adding the PILS in columns 12 to 14.",,,
