year,schedule,slc_pattern,line_id,column_id,heading,change_type,severity,description,source
2021,72B,72 1040 xx,1040,,Continuity of Taxes Receivable,updated_line,minor,"ARB decisions, Advisory Notice of Adjustment due to an ARB decisions (Assessment Act 40/19.1(7)) on line 1040.",pdf_changelog
2021,72B,72 1050 xx,1050,,Continuity of Taxes Receivable,updated_line,minor,RfR (Assessment Act 39.1) on line 1050.,pdf_changelog
2021,72B,72 1060 xx,1060,,Continuity of Taxes Receivable,updated_line,minor,"Increase of taxes, error in calculating taxes (Mun. Act 359/359.1) on line 1060.",pdf_changelog
2021,72B,72 1070 xx,1070,,Continuity of Taxes Receivable,updated_line,minor,Post Roll Amended Notice (PRAN) (Assessment Act Section 32) on line 1070.,pdf_changelog
2021,72B,72 1080 xx,1080,,Continuity of Taxes Receivable,updated_line,minor,Special Amended Notice (SAN) (Assessment Act) on line 1080.,pdf_changelog
2021,72B,72 1090 xx,1090,,Continuity of Taxes Receivable,updated_line,minor,Tax Incentive Adjustment (TIA) (Assessment Act) on line 1090.,pdf_changelog
2021,72B,72 1099 xx,1099,,Continuity of Taxes Receivable,updated_line,minor,Subtotal on line 1099 sums the line items from 1000 to 1090.,pdf_changelog
2021,72B,72 2899 xx,2899,,Continuity of Taxes Receivable,updated_line,minor,Tax adjustments before allowances on line 2899 also includes:,pdf_changelog
2021,72B,72 2099 xx,2099,,Continuity of Taxes Receivable,updated_line,minor,Rebates for Charities (Mun. Act 361) on line 2099.,pdf_changelog
2021,72B,72 2299 xx,2299,,Continuity of Taxes Receivable,updated_line,minor,Vacant Unit Rebates (Mun. Act 364) on line 2299.,pdf_changelog
2021,72B,72 2301 xx,2301,,Continuity of Taxes Receivable,updated_line,minor,Contaminated Property (Mun. Act  365.1) on line 2301.,pdf_changelog
2021,72B,72 2399 xx,2399,,Continuity of Taxes Receivable,updated_line,minor,Reduction for Heritage Property (Mun. Act 365.2) on line 2399.,pdf_changelog
2021,72B,72 2400 xx,2400,,Continuity of Taxes Receivable,updated_line,minor,Change in Assessment (Mun. Act 365.3) on line 2400.,pdf_changelog
2022,10,10 1815 01,1815,01,Other revenue,updated_line,minor,"The amount for ""Deferred revenue earned (Community Benefit)"" on line 1815 is referenced to (SLC 60 1036 01).",pdf_changelog
2022,10,10 6065 01,6065,01,Continuity of GBE Equity,updated_line,minor,"Report the amount for ""Dividends paid"" on line 6065.",pdf_changelog
2022,10,10 6090 01,6090,01,"""Government Business Enterprises Equity, end of year"" on SLC 60 6090 01 is calculated as",updated_line,minor,"""Government Business Enterprises Equity, end of year"" on SLC 60 6090 01 is calculated as ((SLC 60 6010 01 + SLC 60 6020 01 + 60 6060 01)) - SLC 60 6065 01).",pdf_changelog
